Time (min),D1,D2,D3,D4,B1,B2,B3
10,1442,2055,1889,2771,1547.63098,2782.97049,2475.98464
20,1372,1978,2178,2679,1687.32625,3722.11541,2747.38723
30,1705,2226,2143,2859,1761.74585,3780.95317,2633.5832
40,1439,2095,2413,2640,2008.30132,3946.55433,3392.33747
50,1390,2247,2021,3022,1750.13852,4518.21612,3351.54946
60,1462,2667,1979,3196,2048.09687,4595.74293,3419.54594
70,1589,2447,2160,3156,2457.48241,5245.82929,4046.21243
80,1646,3364,2854,3650,2272.80669,5584.61916,4284.71798
90,2017,3375,2676,4086,3094.97016,6742.02899,4830.91787
100,2587,4025,3614,5134,3029.27036,7144.90951,5458.47065
110,2856,5236,4487,6160,3488.39404,8729.47618,5938.06391
120,3282,5634,5040,6724,4081.14561,10229.4973,6897.81409
130,3229,6250,5397,6855,5154.85232,11525.8201,8909.46786
140,3509,5993,5986,7053,6219.65934,11945.292,9705.63982
150,3784,6616,5968,7651,7207.13356,13150.5284,10721.0488
160,3652,6751,6379,7236,8887.109,14054.6525,11452.2506
170,4306,7249,7193,8139,9825.07299,14440.5489,12966.1166
180,4214,7673,7281,8247,10382.9472,15786.173,12670.7884
190,4686,7814,7559,8321,11799.1233,16199.068,15057.9328
200,4905,7864,7809,9260,12930.8966,17688.9566,15450.6749
210,6589,8978,8340,11081,13999.2654,19102.8031,16507.818
220,7322,10457,10014,12003,14423.3261,22110.6179,18835.8114
230,7482,12256,11845,14314,15611.2768,25832.4501,21519.3445
240,6341,13066,12806,13663,17016.0771,29606.7144,25613.9649
250,5168,12963,13064,12351,19423.0532,35240.5822,27421.2328
260,3964,11197,12211,10321,21613.4369,42647.5585,35061.7737
270,2937,9092,10032,7727,24529.2964,47033.463,41009.1231
280,2528,6932,7780,6574,29252.4511,54162.561,45599.4385
290,2274,5815,6342,5514,35552.6143,56815.4348,51105.0376
300,2047,4800,5564,4852,40543.6673,58269.3098,54224.438
310,2066,4303,4853,4314,45624.2899,56448.8,55903.7879
320,1839,4002,4243,4105,51347.9964,59315.1808,53224.3405
330,1786,3699,4181,4018,56628.475,62249.4117,55862.9383
340,1809,3752,4018,3900,59215.0117,63167.0614,62572.2919
350,1914,3795,4020,3886,59698.5562,64271.9973,60977.5223
360,2012,3578,3942,3774,59644.1194,69619.1537,64322.8265
370,2028,3850,3847,3856,62399.6225,73926.8593,64516.8926
380,2241,3811,4192,4263,67522.6848,76833.6683,68951.1014
390,2324,4079,4296,4538,67566.0265,77860.9458,73309.5186
400,2602,4538,4753,4789,69948.7243,80445.6379,75079.85
410,2712,4913,5072,5288,75305.1348,84285.1853,77952.6868
420,2827,5062,5531,5683,78915.5371,89718.5801,81832.0767
430,3011,6027,6057,6321,83286.1671,92427.3607,83387.8418
440,3154,6354,6296,6796,88204.8605,94110.8724,86468.0097
450,3341,6531,6958,7143,91034.2178,97174.7273,89703.3739
460,3440,7191,7190,7294,93493.1036,99939.6256,92908.6686
470,3481,7228,7456,7440,96340.1312,101048.574,96469.7403
480,3584,7656,7845,8229,101416.445,99299.8192,100019.212
490,3565,7874,8439,8359,100064.206,100340.526,100894.129
500,3682,8023,8562,8766,104006.173,101210.369,103016.034
510,3810,8549,8687,8732,104858.469,103510.317,105381.142
520,3885,8665,9113,8713,107546.322,104653.328,104856.82
530,3563,8732,9317,9467,109912.427,107573.728,106486.673
540,3090,8995,9347,9958,111652.015,109542.598,109088.782
550,2827,9076,9573,9234,115413.519,113143.501,103942.632
560,2841,9232,9563,8613,111229.673,112860.482,109711.025
570,2627,8552,9490,7610,114575.918,116731.058,109282.302
580,2406,7845,8474,7060,113691.764,113458.249,113232.869
590,2350,7252,7882,6478,117700.92,113299.108,114642.849
600,2245,6337,7141,5816,116498.386,115631.708,118176.669
610,2135,5997,6630,5699,117925.663,116128.767,118312.417
620,1986,5767,6133,5263,119400.828,111514.346,119810.69
630,1904,5258,5774,4996,120651.27,114254.037,120691.668
640,1875,4946,5383,4606,123336.524,114039.485,120214.709
650,1793,4839,5162,4353,124493.758,112960.462,117565.254
660,1834,4363,4638,3993,122866.497,111779.406,120024.989
670,1721,4245,4628,4128,126540.865,110062.851,120520.758
680,1697,4019,4253,3805,124835.814,111722.236,123282.776
690,1575,3822,4163,3552,124468.286,106827.556,120982.3
700,1541,3589,3617,3538,127312.429,108920.479,118117.287
710,1559,3580,3664,3356,126318.744,105459.131,118764.311
720,1435,3129,3443,3038,130019.831,107808.737,118648.595
730,1426,3142,3168,2984,127478.511,106945.73,120197.37
,,,,,125227.722,105058.265,113804.471
,,,,,121687.207,105154.749,114057.154
,,,,,119445.856,104009.007,112801.499
,,,,,121190.989,105829.941,114296.913
,,,,,124282.979,102095.994,112427.78
,,,,,121618.699,105256.642,113154.405
,,,,,121324.122,103637.006,111519.249
,,,,,121897.376,102357.131,109282.131
,,,,,122597.228,103900.41,111517.287
,,,,,121935.852,103087.59,109458.607
,,,,,118726.76,100162.896,110586.149
,,,,,120206.41,99251.9233,106024.592
,,,,,120491.215,98700.0114,106323.241
,,,,,115719.153,99216.5518,103884.288
,,,,,114035.979,96440.4091,105911.602
,,,,,115586.579,98195.1412,103681.2
,,,,,112934.966,94478.0471,105656.579
,,,,,113685.437,94302.6058,101769.619
,,,,,112259.456,94597.0087,104281.776
,,,,,115292.237,94657.0688,103072.516
,,,,,112011.826,94324.8345,101092.412
,,,,,110080.927,92167.1392,100623.894
,,,,,109998.047,91726.7188,99732.1639
,,,,,109200.24,90688.035,99703.1176
,,,,,107291.116,90363.2072,100944.448
,,,,,105118.682,88883.9477,97709.884
,,,,,107470.246,87295.2618,96758.9608
,,,,,105295.673,86055.8137,96559.1141
,,,,,102896.622,86396.7162,96470.334
,,,,,102409.469,85020.6357,93940.9301
,,,,,100925.318,84568.8513,93244.8086
,,,,,103755.522,83525.1172,90310.9373
,,,,,99564.567,83863.0851,91063.8447
,,,,,100346.713,80937.5798,89447.4569
,,,,,99434.2829,83383.7021,92026.7715
,,,,,97179.0768,78651.3779,89076.499
